Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Antonio Brown,PIT,WR,380.9,16,23.8,22.6,17.0,31.0,32.8,13.4,18.6,22.1,35.8,31.4,11.4,24.1,,31.7,20.7,22.3,20.2,25.8
Le'Veon Bell,PIT,RB,370.5,16,23.2,31.7,15.7,17.7,16.9,16.8,14.5,28.5,20.8,16.8,14.9,30.2,,39.4,47.5,28.9,14.2,16.0
Aaron Rodgers,GB,QB,354.1,16,22.1,9.6,28.6,10.5,28.9,18.2,26.0,24.3,24.8,,36.6,28.8,19.8,24.9,27.9,6.1,14.7,24.4
Andrew Luck,IND,QB,351.9,16,22.0,26.7,18.9,32.3,29.6,20.7,24.6,20.3,26.6,30.7,,19.6,15.0,32.8,23.5,15.3,0.4,14.9
DeMarco Murray,DAL,RB,351.1,16,21.9,21.3,22.3,21.1,28.5,23.2,26.6,20.2,24.1,13.0,19.1,,16.3,23.3,37.8,21.4,11.8,21.1
Matt Forte,CHI,RB,346.6,16,21.7,24.9,8.6,13.6,22.1,32.6,37.7,28.9,30.8,,11.1,23.5,28.2,11.8,24.0,11.9,21.5,15.4
Demaryius Thomas,DEN,WR,340.9,16,21.3,8.8,17.2,9.1,,42.6,28.4,37.1,18.5,19.7,21.8,17.3,36.7,18.3,3.1,24.3,18.5,19.5
Russell Wilson,SEA,QB,328.5,16,20.5,18.5,17.9,23.0,,34.2,10.2,37.1,13.5,10.3,19.6,22.2,19.7,16.9,29.3,11.4,36.4,8.3
Jordy Nelson,GB,WR,327.9,16,20.5,17.3,35.9,10.9,32.8,13.6,25.7,18.0,5.5,,33.2,20.9,14.8,13.3,34.6,10.5,26.3,14.6
Dez Bryant,DAL,WR,316.0,16,19.8,9.5,26.3,20.9,13.4,23.5,10.3,24.1,12.0,9.5,33.8,,27.6,11.3,14.2,35.4,18.3,25.9
Peyton Manning,DEN,QB,312.7,16,19.5,22.5,21.6,20.0,,31.0,21.5,28.6,23.4,21.8,29.6,15.5,28.1,12.6,2.7,13.0,12.4,8.4
Ben Roethlisberger,PIT,QB,306.2,16,19.1,17.4,6.7,15.9,22.4,12.7,11.8,16.9,44.8,35.7,13.7,10.5,,26.2,27.9,14.2,12.4,17.0
Drew Brees,NO,QB,303.9,16,19.0,15.5,15.8,19.5,20.2,16.7,,21.0,25.0,18.1,18.4,14.5,28.3,30.3,12.0,27.2,11.3,10.1
