Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Arian Foster,HOU,RB,392.0,16,24.5,42.8,16.8,14.6,33.9,4.7,27.7,,31.7,35.7,13.0,30.3,30.8,24.9,16.5,12.1,23.5,33.0
Roddy White,ATL,WR,316.2,16,19.8,24.1,20.8,17.9,17.4,21.1,14.3,43.1,,9.2,37.8,19.3,9.9,14.4,15.9,19.5,13.3,18.2
Michael Vick,PHI,QB,310.3,12,25.9,21.3,23.1,32.6,3.7,,,,,26.1,49.3,19.7,23.7,28.9,22.4,38.7,20.8,
Aaron Rodgers,GB,QB,304.4,15,20.3,12.4,26.2,22.6,17.2,16.7,21.9,17.2,7.3,27.7,,30.1,26.9,27.8,2.3,,34.8,13.3
Tom Brady,NE,QB,299.0,16,18.7,22.3,11.9,22.7,10.7,,11.8,10.5,13.3,17.1,32.3,15.2,29.7,29.3,22.8,14.5,18.9,16.0
LeSean McCoy,PHI,RB,297.2,15,19.8,19.2,34.8,8.1,27.4,24.8,12.5,16.2,,13.3,20.4,25.0,20.0,33.0,18.3,11.7,12.5,
Peyton Hillis,CLE,RB,294.9,16,18.4,14.5,15.1,31.0,19.0,15.7,15.0,14.5,,35.0,18.9,26.3,43.4,14.9,13.8,10.2,5.0,2.6
Peyton Manning,IND,QB,286.0,16,17.9,29.3,21.9,24.9,20.0,7.5,18.2,,19.0,11.8,7.4,25.8,11.4,14.5,20.8,17.2,17.7,18.6
Brandon Lloyd,DEN,WR,286.0,16,17.9,16.7,8.3,28.9,22.5,30.5,11.4,5.6,29.9,,27.0,19.8,23.6,5.1,6.2,17.9,16.1,16.5
Jamaal Charles,KC,RB,282.5,16,17.7,17.0,8.6,18.4,,11.1,15.7,13.1,27.8,15.0,23.1,16.6,23.6,15.6,6.9,24.3,27.7,18.0
Reggie Wayne,IND,WR,280.5,16,17.5,22.9,22.6,10.5,32.6,13.5,13.1,,13.9,19.3,6.4,24.7,9.2,40.0,14.6,8.4,7.0,21.8
Philip Rivers,LAC,QB,279.4,16,17.5,20.4,21.4,22.4,17.6,22.6,12.0,14.3,18.5,25.1,,23.9,8.1,13.7,13.5,22.9,12.4,10.6
Dwayne Bowe,KC,WR,278.6,16,17.4,2.3,8.5,14.1,,5.3,28.8,23.1,11.0,17.3,43.6,28.9,48.0,0.0,1.3,7.3,27.3,11.8
Ray Rice,BAL,RB,276.6,16,17.3,8.2,15.7,13.6,3.9,31.9,20.6,8.3,,25.0,13.2,25.1,19.9,7.0,20.0,40.3,10.2,13.7
Adrian Peterson,MIN,RB,275.9,15,18.4,13.1,29.6,36.0,,11.8,14.1,25.2,25.2,30.4,11.5,9.8,14.0,29.8,2.6,,17.9,4.9
Greg Jennings,GB,WR,274.4,16,17.2,19.2,6.6,9.8,10.5,4.2,25.3,19.4,14.1,21.0,,40.2,16.9,30.2,9.2,12.9,21.2,13.7
Chris Johnson,TEN,RB,272.9,16,17.1,31.0,8.3,24.5,7.4,26.2,21.1,9.3,19.3,,19.4,15.6,2.7,8.7,31.9,20.7,5.8,21.0
Drew Brees,NO,QB,270.2,16,16.9,12.9,19.9,22.6,14.9,13.4,20.7,14.2,16.0,16.1,,27.3,15.8,18.5,17.5,20.7,11.9,7.8
Darren McFadden,LV,RB,267.4,13,20.6,27.0,17.3,20.2,18.9,,,45.6,15.5,13.4,,5.0,13.5,19.7,41.9,17.8,11.6,
Calvin Johnson,DET,WR,266.2,15,17.8,8.5,17.0,11.8,26.8,15.4,25.6,,37.1,2.3,28.8,16.6,19.6,15.6,6.7,25.2,9.2,
Los Angeles Chargers,LAC,DST,265.0,16,16.6,11.0,24.0,17.0,28.0,10.0,13.0,14.0,10.0,14.0,,17.0,33.0,13.0,14.0,18.0,12.0,17.0
Matt Forte,CHI,RB,264.6,16,16.5,37.1,17.6,6.3,5.3,32.8,14.1,10.3,,11.1,8.8,18.4,15.9,18.0,8.1,10.8,26.9,23.1
Josh Freeman,TB,QB,258.4,16,16.2,16.7,19.4,6.9,,15.2,13.0,16.5,17.3,14.2,17.5,14.9,13.2,12.0,15.6,16.9,31.8,17.3
Andre Johnson,HOU,WR,256.6,13,19.7,6.3,33.8,10.4,,14.5,27.8,,23.6,8.1,29.6,7.2,20.6,21.9,35.0,17.8,,
Los Angeles Rams,LAR,DST,253.0,16,15.8,20.0,16.0,16.0,18.0,8.0,20.0,13.0,21.0,,15.0,10.0,17.0,18.0,14.0,15.0,20.0,12.0
Matt Ryan,ATL,QB,252.4,16,15.8,8.5,19.6,19.7,12.4,10.0,14.3,24.5,,13.9,25.1,20.9,11.9,11.9,11.5,17.6,12.5,18.1
Hakeem Nicks,NYG,WR,250.2,13,19.3,29.5,11.8,12.6,19.0,37.0,3.8,31.8,,24.8,13.2,12.5,,,16.6,18.3,19.3,
Mike Wallace,PIT,WR,249.6,16,15.6,8.2,4.5,24.9,4.5,,18.0,13.3,7.3,22.0,33.6,22.5,6.3,12.6,14.0,18.0,20.4,19.5
Jason Witten,DAL,TE,248.2,16,15.5,5.7,10.1,12.6,,19.4,8.2,24.5,25.7,7.4,1.7,8.8,19.9,15.2,25.9,30.0,18.5,14.6
Steve Johnson,BUF,WR,247.3,16,15.5,7.0,6.1,15.6,12.1,21.6,,29.8,14.7,25.5,6.7,39.7,13.8,5.6,9.2,18.9,10.8,10.2
Matt Schaub,HOU,QB,245.6,16,15.4,6.0,30.1,9.6,15.8,3.7,20.5,,8.1,8.8,22.0,14.5,14.9,17.5,26.5,19.0,14.4,14.2
Steven Jackson,LAR,RB,242.4,16,15.2,12.7,16.5,13.4,15.4,13.6,18.1,16.5,7.3,,28.8,9.1,7.6,18.5,15.4,21.4,15.7,12.4
Larry Fitzgerald,ARI,WR,241.7,16,15.1,13.3,15.3,10.6,12.6,16.3,,6.0,25.2,17.7,18.1,21.0,7.7,10.1,13.2,21.5,3.6,29.5
Rashard Mendenhall,PIT,RB,241.0,16,15.1,21.5,8.2,20.3,22.8,,18.9,5.3,16.5,22.0,7.5,9.9,19.1,9.3,8.5,15.9,16.3,19.0
Ahmad Bradshaw,NYG,RB,239.9,16,15.0,15.3,8.9,20.8,20.3,11.9,16.3,13.8,,25.2,19.5,2.4,14.3,23.5,22.5,10.0,10.2,5.0
Santana Moss,WAS,WR,235.9,16,14.7,13.7,18.1,22.4,0.5,18.8,15.7,17.1,11.6,,5.8,22.6,9.0,4.4,21.2,27.1,13.5,14.4
