Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Patrick Mahomes II,KC,QB,417.0,16.0,26.1,28.3,38.8,25.3,22.9,15.8,27.0,32.8,26.0,26.8,20.1,35.9,,33.0,20.8,18.0,28.2,17.3
Saquon Barkley,NYG,RB,385.8,16.0,24.1,20.8,24.8,22.7,22.0,28.9,37.9,26.4,20.1,,14.0,35.2,33.2,17.6,29.7,9.6,18.7,24.2
Christian McCaffrey,CAR,RB,385.5,16.0,24.1,13.5,27.9,21.4,,20.3,13.6,14.0,21.6,32.7,36.8,17.0,46.7,31.1,28.1,26.0,29.8,5.0
Todd Gurley II,LAR,RB,372.1,14.0,26.6,23.7,32.3,24.6,25.6,33.3,36.5,30.6,33.5,19.9,25.0,12.4,,31.5,8.8,34.4,,
Matt Ryan,ATL,QB,355.0,16.0,22.2,8.8,30.7,40.2,29.3,14.4,27.5,19.3,,28.0,20.5,13.7,20.7,7.6,20.5,25.0,19.5,29.3
Alvin Kamara,NO,RB,354.2,15.0,23.6,43.1,17.9,34.0,41.1,6.9,,15.5,26.6,33.6,26.2,17.8,10.8,15.2,15.7,23.3,26.5,
Ben Roethlisberger,PIT,QB,342.0,16.0,21.4,9.0,39.0,24.0,14.9,21.6,21.6,,16.9,25.2,35.8,20.7,20.3,17.2,19.3,13.1,29.6,13.8
DeAndre Hopkins,HOU,WR,333.5,16.0,20.8,15.1,23.0,14.6,32.9,22.1,17.3,14.0,26.2,26.5,,14.6,12.4,16.1,13.6,39.0,19.4,26.7
Deshaun Watson,HOU,QB,331.9,16.0,20.7,11.0,22.8,25.0,31.1,21.0,5.3,10.9,31.0,20.3,,9.0,29.4,16.0,18.2,22.4,36.5,22.0
Davante Adams,GB,WR,329.6,15.0,22.0,19.8,20.4,18.2,16.1,29.0,35.2,,18.3,16.0,21.7,26.6,17.9,23.3,21.1,21.9,24.1,
Ezekiel Elliott,DAL,RB,329.1,15.0,21.9,17.6,19.7,14.8,34.0,15.4,18.7,6.2,,15.2,36.7,33.1,25.3,25.5,31.2,19.8,15.9,
Andrew Luck,IND,QB,328.1,16.0,20.5,19.5,11.4,13.9,35.7,22.6,22.7,22.7,23.4,,21.2,23.9,23.6,9.5,23.6,9.7,21.6,23.1
Tyreek Hill,KC,WR,328.0,16.0,20.5,36.3,20.0,7.6,14.6,12.7,39.2,20.6,10.0,12.5,32.7,43.5,,6.0,22.5,8.1,13.1,28.6
Julio Jones,ATL,WR,325.9,16.0,20.4,28.0,11.4,14.6,26.3,11.2,24.4,17.4,,25.1,23.7,23.8,23.8,3.8,30.6,20.2,12.8,28.8
Antonio Brown,PIT,WR,323.7,15.0,21.6,24.3,15.7,17.0,17.2,28.1,21.5,,25.4,15.2,21.6,22.7,15.7,31.4,8.5,14.9,44.5,
Michael Thomas,NO,WR,315.5,16.0,19.7,38.0,30.9,22.9,8.7,11.4,,19.9,13.1,39.1,27.0,19.2,7.8,9.0,20.8,11.9,27.9,7.9
Aaron Rodgers,GB,QB,312.5,16.0,19.5,24.9,16.0,19.9,15.0,28.7,28.4,,15.9,19.2,18.1,21.6,11.9,15.3,20.2,13.5,42.9,1.0
Jared Goff,LAR,QB,310.3,16.0,19.4,17.2,18.4,25.6,39.3,14.3,7.4,16.5,26.5,29.3,21.0,35.1,,8.1,-0.3,10.7,17.2,24.0
Adam Thielen,MIN,WR,307.3,16.0,19.2,16.2,31.1,24.5,27.5,24.6,29.3,26.0,22.8,12.7,,15.6,26.5,13.8,12.8,3.9,13.3,6.7
Drew Brees,NO,QB,304.8,15.0,20.3,31.6,17.6,40.5,8.6,27.7,,16.8,6.8,31.4,28.9,30.5,20.4,7.3,13.9,5.9,16.9,
Russell Wilson,SEA,QB,299.4,16.0,18.7,20.4,14.7,15.6,9.0,19.9,20.9,,23.4,19.5,26.2,18.6,22.0,24.8,9.0,19.0,28.5,7.9
JuJu Smith-Schuster,PIT,WR,296.9,16.0,18.6,16.9,31.1,20.6,10.0,13.4,20.1,,7.3,14.8,19.3,18.4,37.9,10.9,33.0,8.0,20.5,14.7
Travis Kelce,KC,TE,294.6,16.0,18.4,1.6,29.9,19.4,20.8,15.0,11.1,14.5,19.9,28.9,10.6,28.7,,38.8,20.7,13.1,10.4,11.2
Dak Prescott,DAL,QB,285.8,16.0,17.9,8.7,14.9,8.8,18.4,11.7,29.5,20.2,,14.8,21.7,14.8,27.4,14.2,24.4,6.2,16.6,33.5
Philip Rivers,LAC,QB,284.9,16.0,17.8,29.0,22.7,17.0,21.7,21.4,14.3,20.1,,17.1,15.0,19.6,20.7,24.0,13.5,18.5,3.3,7.0
Mike Evans,TB,WR,284.4,16.0,17.8,27.7,22.3,25.7,11.9,,9.8,17.7,29.9,2.6,8.1,24.0,17.6,8.8,12.6,16.1,21.0,28.6
Kirk Cousins,MIN,QB,283.1,16.0,17.7,20.4,33.5,10.0,31.7,14.1,17.6,17.5,20.7,6.9,,17.0,27.4,8.0,10.8,15.3,22.2,10.0
Cam Newton,CAR,QB,282.6,14.0,20.2,18.2,27.6,29.6,,16.4,23.3,25.7,28.0,21.2,14.7,24.5,22.5,15.3,10.9,4.7,,
Tom Brady,NE,QB,281.4,16.0,17.6,21.3,16.4,7.5,19.0,27.5,21.8,21.7,13.8,15.7,11.8,,19.2,14.9,26.6,13.2,5.0,26.0
Zach Ertz,PHI,TE,280.3,16.0,17.5,9.8,20.4,12.3,21.2,27.0,17.3,22.8,12.6,,40.5,3.5,22.1,17.3,8.8,5.2,35.0,4.5
James Conner,PIT,RB,279.7,13.0,21.5,33.9,19.5,14.5,9.4,34.5,28.9,,38.2,29.3,14.3,10.9,11.5,22.4,,,,12.4
James White,NE,RB,276.6,16.0,17.3,15.6,15.4,14.1,31.2,23.7,14.2,29.7,25.4,28.3,7.6,,8.8,18.8,4.8,8.7,13.4,16.9
Melvin Gordon III,LAC,RB,275.5,12.0,23.0,27.6,30.6,16.4,30.9,22.0,35.0,,,19.3,27.5,21.6,20.6,,,,14.4,9.6
Stefon Diggs,MIN,WR,266.3,15.0,17.8,14.1,35.9,5.7,23.3,21.6,7.2,10.6,27.9,,,31.6,22.9,9.9,12.1,15.8,9.0,18.7
Robert Woods,LAR,WR,265.6,16.0,16.6,7.3,14.1,33.7,21.1,19.5,19.1,13.4,12.0,12.5,14.6,17.2,,18.8,13.1,16.3,28.4,4.5
Mitch Trubisky,CHI,QB,262.9,14.0,18.8,14.0,14.4,5.6,43.5,,27.3,31.4,21.9,8.0,36.0,14.9,,,4.7,19.0,12.1,10.1
Keenan Allen,LAC,WR,260.1,16.0,16.3,24.8,12.7,5.4,13.3,17.5,14.3,12.2,,21.2,17.7,24.0,20.2,36.8,18.8,0.0,10.8,10.4
George Kittle,SF,TE,258.7,16.0,16.2,14.0,4.2,14.9,24.5,13.3,7.0,20.8,10.7,20.8,17.3,,11.8,13.0,34.0,8.1,14.4,29.9
David Johnson,ARI,RB,246.6,16.0,15.4,17.7,6.1,16.1,18.2,21.1,12.9,10.0,14.0,,37.3,16.4,9.9,8.2,14.1,19.1,13.7,11.8
Joe Mixon,CIN,RB,243.4,14.0,17.4,25.9,9.7,,,20.5,18.4,8.1,28.8,,10.5,14.2,22.5,11.5,24.8,27.0,9.8,11.7
Brandin Cooks,LAR,WR,243.2,16.0,15.2,14.3,22.9,16.0,25.6,0.0,7.3,17.1,11.3,23.4,26.9,18.7,,10.2,5.2,11.9,9.2,23.2
Baker Mayfield,CLE,QB,240.0,14.0,17.1,,,9.8,12.8,18.0,12.3,20.9,14.1,17.9,22.6,,25.9,13.9,13.7,12.1,25.0,21.0
Eli Manning,NYG,QB,240.0,16.0,15.0,7.2,13.6,19.8,14.7,19.2,9.2,20.7,12.6,,19.5,17.1,13.9,8.8,19.9,5.2,20.4,18.2
T.Y. Hilton,IND,WR,239.0,14.0,17.1,15.6,21.3,10.0,15.5,,,18.5,4.4,,10.7,36.5,19.5,15.7,28.9,13.5,20.8,8.1
Tarik Cohen,CHI,RB,233.9,16.0,14.6,7.1,3.5,9.8,30.4,,23.1,22.3,18.0,2.3,16.4,6.0,18.9,34.6,12.9,14.5,2.9,11.2
Odell Beckham Jr.,NYG,WR,230.4,12.0,19.2,22.0,9.1,19.9,14.0,31.4,10.4,28.2,21.6,,23.3,18.5,13.5,18.5,,,,
Kareem Hunt,KC,RB,230.2,11.0,20.9,4.9,15.0,16.4,26.5,16.4,29.5,37.1,19.6,33.1,11.6,20.1,,,,,,
Phillip Lindsay,DEN,RB,222.8,15.0,14.9,18.2,12.1,2.0,15.9,11.1,12.6,16.6,20.2,10.4,,26.6,17.0,28.9,15.1,8.4,7.7,
Tyler Lockett,SEA,WR,222.4,16.0,13.9,14.9,17.0,18.2,10.3,19.4,11.0,,12.7,5.2,19.5,12.2,21.5,13.2,10.9,7.6,13.9,14.9
Eric Ebron,IND,TE,222.2,16.0,13.9,15.1,11.6,8.3,15.0,31.5,17.0,6.1,12.7,,28.1,0.0,21.5,15.2,16.5,1.8,5.8,16.0
Tyler Boyd,CIN,WR,221.1,14.0,15.8,5.6,21.1,25.7,21.0,8.4,25.2,5.7,28.6,,9.5,11.1,21.5,15.7,8.2,13.8,,
Jarvis Landry,CLE,WR,217.1,16.0,13.6,17.6,11.9,20.3,13.4,11.9,3.1,25.7,11.9,11.0,4.2,,6.0,16.3,24.1,6.7,11.8,21.2
Derek Carr,LV,QB,216.8,16.0,13.6,6.2,15.5,13.6,31.6,13.2,4.8,,27.8,7.3,7.9,15.7,9.8,24.2,18.8,12.6,6.4,1.4
Amari Cooper,Multi,WR,215.5,15.0,14.4,2.8,21.6,3.7,26.8,2.0,0.0,,,16.8,13.5,6.6,38.0,13.6,49.7,8.3,6.0,6.1
Case Keenum,DEN,QB,215.0,16.0,13.4,19.2,14.5,5.7,7.8,21.1,19.5,8.8,15.4,15.6,,8.2,15.6,10.9,13.8,12.4,14.0,12.5
