Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Tom Brady,NE,QB,398.0,16,24.9,24.3,21.4,28.6,19.0,22.6,36.0,38.2,37.6,19.6,,35.8,20.8,17.7,32.4,4.5,17.7,21.8
Los Angeles Chargers,LAC,DST,322.0,16,20.1,21.0,13.0,12.0,13.0,23.0,18.0,,33.0,21.0,21.0,10.0,18.0,27.0,16.0,28.0,20.0,28.0
Reggie Wayne,IND,WR,315.4,16,19.7,30.5,12.0,12.4,14.8,19.6,,22.1,29.8,11.2,30.0,11.5,17.6,29.8,12.2,10.9,30.3,20.7
Braylon Edwards,CLE,WR,302.9,16,18.9,7.9,34.6,18.3,18.7,17.0,29.7,,31.7,11.7,8.6,14.5,15.7,27.9,15.3,10.4,25.2,15.7
Tony Romo,DAL,QB,299.6,16,18.7,34.9,19.0,19.2,32.0,11.1,13.9,15.5,,23.0,23.7,25.9,14.5,26.2,21.6,4.1,13.6,1.4
Larry Fitzgerald,ARI,WR,298.9,15,19.9,5.0,15.7,13.5,22.0,28.6,13.7,15.7,,13.5,27.4,23.3,36.6,,19.9,10.7,13.2,40.1
Marques Colston,NO,WR,284.2,16,17.8,10.7,21.0,10.8,,7.1,7.2,7.5,34.5,25.9,20.9,20.8,22.3,5.9,30.2,25.4,4.6,29.4
Brandon Marshall,DEN,WR,282.2,16,17.6,16.2,13.2,20.3,11.3,14.2,,13.7,10.4,18.6,14.5,17.2,19.7,12.7,34.5,21.7,13.5,30.5
Wes Welker,NE,WR,280.9,16,17.6,18.1,17.7,12.9,7.9,5.9,35.4,34.8,23.9,14.8,,15.1,27.9,4.8,22.8,5.8,9.9,23.2
Peyton Manning,IND,QB,275.0,16,17.2,23.5,14.3,14.9,25.4,15.9,,18.4,18.2,17.1,9.1,4.2,20.9,25.7,26.0,13.3,24.3,3.8
Drew Brees,NO,QB,267.2,16,16.7,5.3,13.4,1.9,,6.1,17.8,15.6,29.4,30.5,14.9,12.2,27.2,15.6,25.0,20.4,11.1,20.8
Ben Roethlisberger,PIT,QB,264.6,15,17.6,22.6,12.7,12.2,16.4,12.3,,25.6,16.1,28.4,28.0,10.3,4.7,18.7,13.9,19.2,23.5,
Derek Anderson,CLE,QB,256.6,16,16.0,9.3,31.0,17.1,14.2,14.2,29.1,,21.8,16.7,17.4,14.6,16.1,17.2,13.7,5.5,10.6,8.1
Adrian Peterson,MIN,RB,255.9,14,18.3,23.3,15.8,24.0,12.8,6.4,42.3,14.5,11.2,48.5,8.9,,,25.6,0.3,22.5,6.8,3.6
Matt Hasselbeck,SEA,QB,253.6,16,15.9,13.6,15.0,17.8,16.9,2.6,21.8,13.8,,20.4,18.7,22.0,12.3,13.4,27.2,16.1,13.2,8.8
Jason Witten,DAL,TE,252.5,16,15.8,23.6,4.7,21.0,19.1,25.3,7.7,18.6,,16.7,3.2,14.7,15.4,12.7,34.8,19.3,11.3,4.4
Los Angeles Rams,LAR,DST,251.0,16,15.7,14.0,18.0,13.0,13.0,13.0,16.0,13.0,12.0,,16.0,17.0,21.0,20.0,21.0,16.0,11.0,17.0
Tony Gonzalez,KC,TE,246.2,16,15.4,7.8,8.3,16.6,18.1,18.0,31.2,10.6,,26.9,5.9,8.6,7.8,24.0,20.6,4.7,23.7,13.4
Minnesota Vikings,MIN,DST,246.0,16,15.4,29.0,21.0,7.0,5.0,,8.0,14.0,2.0,9.0,10.0,21.0,39.0,16.0,29.0,13.0,12.0,11.0
Plaxico Burress,NYG,WR,244.5,16,15.3,40.4,11.2,19.6,12.4,23.4,21.7,9.3,3.4,,6.4,8.7,22.3,6.6,26.6,6.5,1.6,24.4
Frank Gore,SF,RB,242.8,15,16.2,14.6,22.5,7.1,15.1,10.5,,14.1,5.1,,9.9,11.3,44.4,16.1,19.7,15.7,23.2,13.5
Roddy White,ATL,WR,239.0,16,14.9,6.9,12.1,25.7,9.4,8.3,10.4,25.0,,8.5,11.7,6.8,22.4,30.6,16.5,1.4,26.1,17.2
Steve Smith,CAR,WR,235.8,15,15.7,25.0,41.3,2.6,8.2,14.7,31.1,,3.8,4.5,11.1,,12.9,16.5,10.4,15.2,28.7,9.8
Willis McGahee,BAL,RB,234.8,15,15.7,14.1,18.3,16.1,15.6,20.6,17.0,19.5,,15.2,15.0,20.6,14.1,25.9,10.2,11.6,1.0,
Carson Palmer,CIN,QB,230.2,16,14.4,15.8,37.0,13.6,9.4,,17.0,11.0,12.4,17.3,10.6,13.1,21.3,7.1,3.3,14.2,4.6,22.5
New England Patriots,NE,DST,229.0,16,14.3,6.0,16.0,10.0,9.0,18.0,4.0,7.0,21.0,8.0,,24.0,24.0,14.0,15.0,23.0,17.0,13.0
Antonio Gates,LAC,TE,227.4,16,14.2,25.7,20.7,22.3,13.9,24.3,8.8,,24.2,2.0,5.6,15.4,28.5,0.9,17.7,1.8,3.4,12.2
