Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Priest Holmes,KC,RB,445.0,16,27.8,37.3,32.8,31.6,14.3,13.1,26.0,27.3,31.9,,34.8,13.8,31.1,34.6,26.7,36.6,33.5,19.6
LaDainian Tomlinson,LAC,RB,443.8,16,27.7,11.1,17.0,29.6,38.9,10.8,,31.1,31.2,18.2,38.7,8.5,24.4,23.3,44.6,42.5,27.9,46.0
Ahman Green,GB,RB,385.0,16,24.1,28.5,22.0,13.6,34.0,25.5,35.0,19.7,,29.9,35.4,21.4,15.4,10.7,17.7,20.6,19.9,35.7
Randy Moss,MIN,WR,376.0,16,23.5,30.0,7.8,11.5,43.2,25.1,,25.1,30.3,20.7,29.0,6.5,10.6,30.5,33.3,25.7,30.1,16.6
Torry Holt,LAR,WR,359.1,16,22.4,24.1,18.4,12.3,31.3,,39.1,22.7,30.4,37.0,6.8,27.4,23.5,18.2,7.1,22.0,28.4,10.4
Jamal Lewis,BAL,RB,325.1,16,20.3,13.3,41.5,21.9,25.9,,13.1,11.9,25.2,10.3,17.3,9.1,20.0,13.8,34.0,12.5,37.6,17.7
Deuce McAllister,NO,RB,324.7,16,20.3,21.4,21.2,6.1,22.6,22.3,15.0,24.6,14.3,16.6,,40.7,39.2,23.6,11.8,22.5,15.3,7.5
Los Angeles Rams,LAR,DST,321.0,16,20.1,15.0,13.0,13.0,17.0,,30.0,19.0,20.0,16.0,37.0,15.0,17.0,31.0,29.0,14.0,19.0,16.0
Clinton Portis,DEN,RB,312.5,13,24.0,32.9,12.9,5.2,,33.0,10.3,25.0,17.5,23.1,,13.2,21.8,32.7,57.4,27.5,,
Shaun Alexander,SEA,RB,305.0,16,19.1,26.4,14.2,9.6,,18.5,15.3,28.2,26.8,15.7,15.4,24.7,8.2,21.7,11.4,21.4,25.2,22.3
Chad Johnson,CIN,WR,285.5,16,17.8,21.5,21.1,11.7,21.7,11.9,,24.0,17.4,11.5,17.9,14.4,38.7,23.7,3.5,21.1,18.5,6.9
Anquan Boldin,ARI,WR,282.7,16,17.7,41.7,14.2,14.9,13.6,6.3,15.5,,3.9,17.1,25.8,13.2,33.1,7.3,25.3,15.4,27.7,7.7
