Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Priest Holmes,KC,RB,440.7,14,31.5,44.1,16.6,40.8,23.5,44.3,28.9,40.1,30.4,,13.6,21.7,55.7,31.9,28.8,20.3,,
Marvin Harrison,IND,WR,384.2,16,24.0,13.4,31.4,19.0,,29.5,27.0,15.6,14.5,28.9,31.7,39.8,21.7,19.1,16.6,38.2,28.8,9.0
LaDainian Tomlinson,LAC,RB,384.2,16,24.0,24.9,10.0,28.6,39.7,14.7,30.6,35.1,,15.3,23.4,22.5,7.9,56.1,17.9,21.3,24.7,11.5
Ricky Williams,MIA,RB,360.6,16,22.5,23.1,27.4,25.4,23.6,9.7,23.9,12.9,11.1,11.0,11.9,30.0,29.1,39.5,31.6,17.0,11.3,33.2
Charlie Garner,LV,RB,347.3,16,21.7,36.1,22.1,,23.7,33.7,14.6,17.4,21.9,15.8,16.1,19.2,29.2,20.2,16.7,11.9,29.2,19.5
Hines Ward,PIT,WR,335.1,16,20.9,23.0,26.1,,19.4,18.6,8.4,25.4,17.7,23.7,35.8,40.8,27.4,15.0,17.3,7.1,13.8,15.6
Shaun Alexander,SEA,RB,328.5,16,20.5,19.2,14.3,6.5,56.1,,22.1,5.6,28.6,19.5,17.4,10.1,28.1,23.1,16.1,25.2,21.5,15.1
Terrell Owens,SF,WR,321.9,14,23.0,9.1,14.8,15.1,,16.1,26.4,16.3,33.2,31.1,14.4,36.1,41.6,9.9,36.3,21.5,,
Tiki Barber,NYG,RB,321.4,16,20.1,17.6,17.0,17.9,20.3,16.3,11.9,,22.1,32.3,30.3,8.2,24.7,13.6,18.9,22.2,18.5,29.6
Clinton Portis,DEN,RB,316.2,16,19.8,3.4,1.2,17.7,11.5,19.9,20.2,15.4,23.1,,17.6,20.8,20.8,34.3,15.5,43.5,12.7,38.6
Deuce McAllister,NO,RB,311.0,15,20.7,16.1,25.7,10.7,26.8,28.3,12.9,28.4,38.1,,26.5,11.3,,17.6,32.7,18.6,2.6,14.7
Rich Gannon,LV,QB,303.3,16,19.0,16.0,16.1,,31.2,35.2,11.6,25.5,17.0,11.2,29.3,17.4,23.8,19.5,14.0,13.2,16.7,5.6
Randy Moss,MIN,WR,290.3,16,18.1,17.8,28.6,5.6,12.1,,17.3,12.6,27.1,8.9,11.5,23.5,15.2,22.4,11.5,36.8,22.5,16.9
Eric Moulds,BUF,WR,289.9,16,18.1,25.2,16.6,24.6,26.4,19.2,15.6,17.1,21.3,11.8,,13.6,4.4,24.0,26.3,11.8,9.5,22.5
Travis Henry,BUF,RB,285.7,16,17.9,39.8,3.0,14.8,17.9,23.5,29.0,14.7,18.6,9.5,,20.4,25.6,25.8,6.0,24.4,4.7,8.0
Daunte Culpepper,MIN,QB,284.9,16,17.8,14.0,25.2,6.8,19.2,,27.7,8.1,13.7,5.8,7.8,21.5,22.8,18.1,16.0,41.8,10.5,25.9
Marshall Faulk,LAR,RB,283.0,14,20.2,31.0,29.3,11.6,20.0,18.0,28.0,54.5,,34.6,11.2,,,9.1,8.8,6.6,7.0,13.3
Michael Vick,ATL,QB,280.8,15,18.7,25.6,14.2,20.6,,1.6,,23.8,28.9,2.9,23.6,23.9,18.9,34.2,7.9,15.6,23.7,15.4
