Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Daunte Culpepper,MIN,QB,373.3,16,23.3,32.2,17.8,29.7,,38.8,34.3,11.7,10.4,15.5,32.4,20.8,17.2,18.2,16.0,28.4,25.5,24.4
Peyton Manning,IND,QB,359.9,16,22.5,18.0,18.7,35.5,14.5,17.9,,26.7,36.9,28.7,28.8,22.9,33.8,22.7,19.6,13.8,21.2,0.2
Tiki Barber,NYG,RB,347.6,16,21.7,31.0,8.9,24.4,29.6,30.8,,30.2,24.1,29.1,27.0,16.1,12.9,3.8,10.4,22.4,20.3,26.6
LaDainian Tomlinson,LAC,RB,336.1,15,22.4,20.7,25.3,11.5,24.0,23.4,18.0,13.0,14.8,17.6,,24.3,32.3,30.0,23.0,23.6,34.6,
Muhsin Muhammad,CAR,WR,329.0,16,20.6,16.5,4.6,,16.7,1.9,16.8,5.8,30.6,17.4,36.3,31.1,7.2,33.9,21.8,29.5,31.4,27.5
Shaun Alexander,SEA,RB,323.6,16,20.2,36.6,4.5,29.4,,22.4,18.7,6.5,35.8,28.0,16.9,15.6,3.9,23.4,19.4,11.6,33.4,17.5
Domanick Williams,HOU,RB,321.6,15,21.4,28.7,24.3,3.7,,16.2,2.5,,14.5,23.0,34.2,22.6,31.1,12.6,32.1,21.7,28.9,25.5
Curtis Martin,NYJ,RB,319.2,16,20.0,35.3,32.4,,24.1,16.0,28.1,9.0,19.8,6.7,26.4,8.8,9.9,31.4,13.7,25.4,12.7,19.5
Edgerrin James,IND,RB,306.1,16,19.1,16.1,26.7,14.9,19.8,23.5,,20.1,18.4,22.9,12.0,28.5,15.1,29.6,22.8,16.2,19.7,-0.2
Joe Horn,NO,WR,301.9,16,18.9,17.0,23.4,22.1,10.7,14.0,19.5,21.3,,4.1,27.7,13.1,27.1,36.0,19.4,16.4,12.6,17.5
Javon Walker,GB,WR,295.2,16,18.5,5.7,17.2,47.0,12.7,29.9,8.2,26.9,14.7,,16.4,17.8,9.5,20.2,5.6,26.2,20.0,17.2
Donovan McNabb,PHI,QB,291.1,15,19.4,30.4,26.2,26.0,11.7,,7.0,31.8,14.4,2.4,31.2,24.2,20.8,36.6,13.2,9.8,5.4,
Torry Holt,LAR,WR,289.2,16,18.1,16.6,27.1,18.5,5.8,10.3,30.4,1.4,,23.1,5.2,23.0,10.1,32.0,27.1,13.5,14.5,30.6
Marvin Harrison,IND,WR,287.3,16,18.0,17.4,19.8,17.5,14.5,7.4,,24.0,28.9,14.1,4.2,14.9,42.7,20.6,11.6,18.3,17.1,14.3
Chad Johnson,CIN,WR,280.3,16,17.5,20.9,7.5,17.9,9.4,,6.7,27.9,12.7,15.4,14.9,19.0,28.6,38.1,20.0,3.2,24.6,13.5
Terrell Owens,PHI,WR,278.5,14,19.9,32.8,17.6,22.7,25.0,,16.3,26.9,24.1,12.3,38.0,10.4,10.1,29.3,8.6,4.4,,
Drew Bennett,TEN,WR,276.9,16,17.3,4.5,15.5,11.5,19.9,12.9,16.9,2.8,0.0,,26.8,10.4,10.4,33.4,53.3,41.0,4.6,13.0
Brian Westbrook,PHI,RB,276.5,13,21.3,19.1,16.8,14.6,27.2,,19.0,9.0,,5.1,21.8,27.5,29.7,48.3,17.8,20.6,,
Tony Gonzalez,KC,TE,270.3,16,16.9,3.7,10.3,24.6,8.2,,20.1,3.9,32.5,27.3,13.1,15.6,18.5,6.2,14.6,7.4,35.4,28.9
Reggie Wayne,IND,WR,269.6,16,16.9,5.2,24.9,35.4,4.0,17.9,,4.8,29.9,11.2,13.3,28.6,6.3,21.6,22.6,16.8,9.1,18.0
Los Angeles Chargers,LAC,DST,263.0,16,16.4,20.0,10.0,13.0,13.0,19.0,17.0,13.0,17.0,19.0,,13.0,15.0,20.0,27.0,13.0,16.0,18.0
Corey Dillon,NE,RB,260.8,15,17.4,8.6,16.7,,17.2,9.4,25.1,11.5,,21.1,16.6,22.8,20.3,20.0,14.8,26.2,12.1,18.4
Trent Green,KC,QB,260.2,16,16.3,5.3,5.0,19.0,14.6,,18.6,10.8,27.3,23.2,11.7,21.8,9.0,24.1,17.7,21.0,19.5,11.6
Donald Driver,GB,WR,257.2,16,16.1,6.9,9.9,18.4,7.1,23.0,32.0,14.2,6.8,,5.2,30.8,20.5,6.2,18.7,19.4,33.2,4.9
Jake Plummer,DEN,QB,255.8,16,16.0,15.5,12.4,19.9,11.3,13.8,19.1,9.1,30.5,25.6,,16.9,11.6,3.7,5.9,14.3,20.9,25.3
Antonio Gates,LAC,TE,255.4,15,17.0,20.3,7.9,7.0,18.7,29.3,14.0,13.1,23.3,28.6,,24.1,28.2,6.1,2.7,14.2,17.9,
Brett Favre,GB,QB,255.0,16,15.9,9.6,11.0,30.4,6.4,15.7,18.1,18.7,11.6,,25.4,16.9,21.1,1.2,12.3,16.6,24.2,15.8
