Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Shaun Alexander,SEA,RB,378.8,16,23.7,7.3,23.5,38.0,17.2,28.5,39.2,6.1,,29.3,36.4,25.2,18.4,16.9,22.8,23.2,33.5,13.3
Larry Johnson,KC,RB,368.3,16,23.0,25.1,10.1,1.3,3.4,,6.5,18.9,11.3,30.5,22.8,34.7,28.2,28.9,38.1,32.4,33.9,42.2
LaDainian Tomlinson,LAC,RB,368.1,16,23.0,13.2,17.2,51.0,31.8,26.0,36.1,7.3,16.9,42.3,,17.9,45.3,16.0,8.5,12.5,9.5,16.6
Tiki Barber,NYG,RB,361.0,16,22.6,20.2,21.9,7.5,22.3,,7.9,23.0,28.1,12.3,36.6,15.4,22.8,13.4,30.5,41.9,18.9,38.3
Steve Smith,CAR,WR,339.8,16,21.2,27.8,7.4,45.8,3.2,31.9,24.3,,37.1,21.6,6.4,30.9,8.5,19.5,15.3,28.5,2.8,28.8
Edgerrin James,IND,RB,312.3,15,20.8,14.4,20.7,21.7,18.2,24.7,36.9,27.7,,20.3,23.8,25.7,12.4,20.4,24.4,12.5,8.5,
Larry Fitzgerald,ARI,WR,308.0,16,19.3,34.5,13.5,7.0,23.2,28.6,,17.1,8.1,19.1,29.1,26.3,13.5,20.9,6.3,20.5,20.3,20.0
Chad Johnson,CIN,WR,297.5,16,18.6,19.2,26.9,22.6,13.7,16.2,27.5,13.4,12.0,14.1,,32.9,19.8,10.4,4.2,27.8,26.7,10.1
LaMont Jordan,LV,RB,296.8,14,21.2,16.0,21.1,18.2,24.8,,27.4,38.2,24.6,18.8,17.8,13.9,33.4,8.5,11.9,22.2,,
Anquan Boldin,ARI,WR,290.7,14,20.8,10.2,19.9,16.6,25.7,32.9,,1.5,15.9,,,26.5,21.9,32.6,21.0,27.4,22.5,16.1
Torry Holt,LAR,WR,289.3,14,20.7,22.5,17.0,31.3,21.4,26.6,13.0,,,,14.5,29.9,29.0,13.5,19.5,10.6,32.3,8.2
Santana Moss,WAS,WR,286.0,16,17.9,13.6,32.9,,14.7,19.6,39.3,22.2,7.4,15.1,11.9,9.3,17.7,8.8,12.6,9.6,39.0,12.3
Clinton Portis,WAS,RB,275.9,16,17.2,12.1,11.7,,12.8,15.0,16.8,30.3,5.2,16.5,25.3,9.6,12.0,26.7,21.1,12.6,23.5,24.7
Los Angeles Rams,LAR,DST,274.0,16,17.1,16.0,19.0,21.0,11.0,14.0,14.0,25.0,23.0,,14.0,13.0,17.0,13.0,14.0,22.0,15.0,23.0
Joey Galloway,TB,WR,272.1,14,19.4,14.7,,22.3,30.0,13.7,24.6,,28.9,19.3,26.1,,20.8,18.5,7.9,7.8,17.7,19.8
Carson Palmer,CIN,QB,269.7,16,16.9,17.2,23.8,18.5,14.9,17.7,19.3,11.9,19.5,17.3,,19.5,25.5,20.8,5.8,19.8,16.0,2.2
Chris Chambers,MIA,WR,269.0,16,16.8,15.1,5.9,21.3,,10.0,10.5,16.8,12.6,5.7,24.9,4.2,16.6,44.8,32.1,13.4,22.6,12.5
Marvin Harrison,IND,WR,268.6,15,17.9,18.9,6.6,11.3,31.9,3.7,13.9,19.5,,33.8,23.8,9.2,22.8,16.1,31.7,21.5,,3.9
Antonio Gates,LAC,TE,259.1,15,17.3,,14.0,21.2,16.8,17.1,3.7,21.2,42.5,21.2,,18.7,6.9,15.1,31.3,8.9,15.2,5.3
Tom Brady,NE,QB,255.4,16,16.0,20.1,12.8,12.9,11.4,24.1,17.2,,12.4,22.5,14.9,21.4,7.4,12.7,24.9,22.9,14.1,3.7
Los Angeles Chargers,LAC,DST,252.0,16,15.8,16.0,14.0,14.0,21.0,15.0,16.0,14.0,16.0,13.0,,20.0,12.0,23.0,14.0,20.0,12.0,12.0
Rudi Johnson,CIN,RB,249.8,16,15.6,21.8,10.3,10.2,8.8,10.3,15.3,8.6,8.2,18.2,,22.5,24.9,23.3,27.0,26.1,11.6,2.7
Peyton Manning,IND,QB,246.4,16,15.4,18.0,2.9,6.8,26.9,10.2,16.2,16.7,,25.2,24.3,24.3,15.8,19.4,21.6,13.3,4.6,0.2
Steven Jackson,LAR,RB,239.6,15,16.0,10.3,18.9,6.4,22.9,25.9,23.7,25.6,28.0,,16.5,5.2,19.2,8.2,6.7,8.2,13.9,
Donald Driver,GB,WR,239.4,16,15.0,8.8,22.5,6.9,21.2,9.8,,25.4,13.5,11.4,21.4,25.4,8.4,14.4,7.2,8.6,16.7,17.8
Plaxico Burress,NYG,WR,237.4,16,14.8,18.6,11.4,16.2,42.4,,8.5,20.4,8.2,12.9,8.0,23.3,16.9,8.7,5.7,5.4,7.0,23.8
Matt Hasselbeck,SEA,QB,234.6,16,14.7,15.4,20.1,9.7,15.3,21.0,12.7,10.1,,16.7,9.9,14.0,16.7,7.9,23.9,23.5,14.7,3.0
Hines Ward,PIT,WR,233.5,15,15.6,4.4,26.4,27.0,,14.3,,12.9,15.5,2.2,26.4,14.1,11.8,35.2,11.7,3.1,23.5,5.0
Rod Smith,DEN,WR,232.2,16,14.5,16.0,16.3,21.0,7.3,4.3,24.3,8.1,18.6,,16.0,10.7,16.7,14.6,11.4,30.7,14.1,2.1
Brian Westbrook,PHI,RB,228.3,12,19.0,24.1,21.0,38.8,12.8,6.6,,20.0,20.4,11.9,22.8,16.3,23.1,10.5,,,,
