Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Aaron Rodgers,GB,QB,397.4,15,26.5,24.6,21.6,22.2,45.9,23.7,24.1,26.2,,31.1,28.1,24.8,20.2,32.0,17.2,22.6,33.1,
Drew Brees,NO,QB,391.8,16,24.5,29.1,23.0,26.7,15.0,20.4,15.4,33.0,10.7,18.3,20.9,,37.3,25.7,22.1,34.9,25.2,34.1
Ray Rice,BAL,RB,372.8,16,23.3,30.9,20.6,21.4,21.0,,21.1,9.3,34.9,19.6,20.1,31.7,11.3,29.4,24.9,20.2,22.5,33.9
Cam Newton,CAR,QB,370.4,16,23.2,30.7,26.6,15.0,32.5,23.7,14.2,26.1,24.9,,12.0,24.9,19.6,39.3,18.6,19.5,31.3,11.5
Tom Brady,NE,QB,366.4,16,22.9,35.0,29.2,24.0,16.9,15.1,17.3,,15.9,16.2,25.4,16.4,29.2,20.3,25.1,27.0,29.9,23.5
Calvin Johnson,DET,WR,359.2,16,22.5,26.8,17.9,29.8,29.6,24.0,18.3,22.5,24.5,,13.1,13.9,14.9,12.9,7.0,42.4,20.2,41.4
Matthew Stafford,DET,QB,343.3,16,21.5,22.2,25.9,23.0,15.5,14.9,20.6,11.3,24.8,,9.3,29.6,14.1,18.3,17.5,30.1,27.4,38.8
Wes Welker,NE,WR,335.9,16,21.0,36.0,15.1,51.6,30.8,17.4,16.5,,9.9,23.9,10.6,4.2,30.6,22.0,21.6,8.1,26.5,11.1
Rob Gronkowski,NE,TE,330.9,16,20.7,20.6,24.6,29.9,2.5,7.1,14.4,,16.4,24.1,31.3,25.6,15.9,29.6,34.0,9.3,14.8,30.8
LeSean McCoy,PHI,RB,328.4,15,21.9,27.7,27.6,23.1,17.2,20.7,21.9,,34.0,22.7,18.3,14.5,16.1,29.3,22.1,27.7,5.5,
Maurice Jones-Drew,JAC,RB,305.0,16,19.1,15.7,13.7,19.7,9.7,14.5,12.4,10.4,14.4,,22.7,21.8,20.6,30.8,43.6,12.3,24.4,18.3
Arian Foster,HOU,RB,303.1,13,23.3,,6.0,,25.6,23.4,16.1,46.4,19.4,26.0,34.6,,19.9,24.2,9.4,25.7,26.4,
Jimmy Graham,NO,TE,294.0,16,18.4,15.6,13.9,20.0,29.2,20.9,19.4,23.4,7.9,13.8,21.2,,25.4,16.9,10.5,18.0,14.2,23.7
Victor Cruz,NYG,WR,287.9,16,18.0,0.0,3.7,26.0,15.8,28.4,3.2,,22.9,15.1,14.4,24.8,36.7,18.9,13.4,9.4,25.4,29.8
Jordy Nelson,GB,WR,284.3,16,17.8,19.7,15.4,7.0,20.1,4.7,18.4,9.2,,21.5,23.3,30.3,6.6,13.4,17.1,4.9,29.5,43.2
Eli Manning,NYG,QB,280.8,16,17.6,14.9,13.7,25.9,18.5,21.3,11.6,,21.7,17.1,16.8,10.6,22.6,21.9,21.8,4.3,10.9,27.2
Roddy White,ATL,WR,277.6,16,17.4,14.1,11.3,23.0,13.8,17.0,4.1,16.2,,11.6,10.2,21.7,28.0,15.1,21.4,35.5,23.7,10.9
Tony Romo,DAL,QB,276.0,16,17.3,18.6,21.8,8.1,19.2,,16.4,14.6,11.0,20.5,22.8,23.5,12.8,16.1,28.8,25.9,0.0,15.9
Matt Ryan,ATL,QB,273.4,16,17.1,8.8,20.4,12.4,18.2,7.6,17.2,14.9,,21.0,20.9,16.9,22.8,11.7,28.8,21.0,18.6,12.2
Darren Sproles,NO,RB,271.3,16,17.0,15.2,20.0,20.5,18.1,14.1,14.2,28.7,13.6,20.9,4.3,,10.2,18.4,16.1,22.2,16.9,17.9
Larry Fitzgerald,ARI,WR,269.1,16,16.8,9.2,26.3,17.4,18.2,10.6,,11.8,12.8,14.3,33.6,13.1,8.5,9.5,27.9,9.5,22.5,23.9
Steve Smith,CAR,WR,264.0,16,16.5,37.8,19.6,4.7,26.1,16.9,11.6,21.9,24.2,,9.7,17.6,10.7,5.2,18.5,19.2,4.2,18.7
Percy Harvin,MIN,WR,262.2,16,16.4,4.2,14.4,11.8,15.9,3.3,15.3,4.3,15.7,,13.0,21.4,24.6,37.5,26.9,3.7,21.4,28.8
Philip Rivers,LAC,QB,252.7,16,15.8,17.1,18.3,6.4,18.1,17.0,,7.1,8.9,25.3,15.4,15.2,11.6,23.8,19.6,14.8,12.0,22.1
Marshawn Lynch,SEA,RB,243.6,15,16.2,6.7,2.2,8.5,14.7,21.1,,,6.4,21.3,27.7,16.9,20.1,26.8,20.3,18.7,21.1,11.1
Mike Wallace,PIT,WR,243.0,16,15.2,18.7,26.6,25.4,11.7,21.0,15.6,20.8,14.0,14.8,14.5,,3.7,18.5,11.8,11.6,12.2,2.1
Marques Colston,NO,WR,240.3,14,17.2,12.1,,,1.8,11.9,24.8,28.8,8.0,10.2,19.3,,10.8,11.4,29.5,17.1,21.1,33.5
Brandon Marshall,MIA,WR,237.7,16,14.9,20.9,19.9,8.3,10.2,,16.9,12.1,9.5,24.6,16.8,1.5,21.3,10.0,12.7,15.4,27.6,10.0
Hakeem Nicks,NYG,WR,237.2,15,15.8,19.2,13.8,5.5,32.2,16.5,13.6,,12.7,,12.1,9.9,15.7,27.8,24.3,12.3,3.0,18.6
Mark Sanchez,NYJ,QB,237.2,16,14.8,17.7,14.2,27.0,-2.9,14.6,18.5,19.4,,8.9,19.3,8.1,21.7,10.7,25.6,8.3,15.6,10.5
Ryan Mathews,LAC,RB,236.6,14,16.9,14.8,25.6,30.9,19.9,14.2,,10.5,15.2,,8.7,5.1,15.2,20.4,20.8,24.9,10.4,
Los Angeles Chargers,LAC,DST,234.0,16,14.6,14.0,12.0,13.0,17.0,9.0,,22.0,21.0,11.0,15.0,12.0,11.0,14.0,20.0,21.0,10.0,12.0
Michael Vick,PHI,QB,233.0,13,17.9,23.2,14.2,8.1,30.1,21.6,16.9,,24.2,9.9,9.0,,,,11.2,22.2,20.7,21.7
Los Angeles Rams,LAR,DST,231.0,16,14.4,12.0,12.0,11.0,14.0,,13.0,14.0,24.0,17.0,14.0,18.0,19.0,14.0,11.0,13.0,12.0,13.0
Michael Turner,ATL,RB,229.8,16,14.4,15.0,21.6,2.0,22.8,11.6,27.7,12.2,,14.8,11.6,15.9,7.4,4.4,7.6,14.5,11.5,29.2
Vincent Jackson,LAC,WR,229.7,16,14.4,5.1,39.2,11.4,19.8,6.4,,2.5,7.9,39.1,3.2,29.5,4.5,17.2,10.5,12.3,6.1,15.0
Dwayne Bowe,KC,WR,228.1,16,14.3,3.7,16.3,16.7,21.7,31.8,,13.6,10.2,14.8,3.7,15.7,13.9,8.9,12.9,8.9,20.0,15.3
Chris Johnson,TEN,RB,225.5,16,14.1,10.9,9.5,11.5,13.2,15.5,,10.5,8.1,15.0,27.4,5.8,18.3,28.7,11.6,18.9,5.6,15.0
Nate Washington,TEN,WR,224.8,16,14.1,12.7,16.9,23.2,8.2,11.9,,2.0,19.7,5.8,7.2,32.5,2.2,8.0,25.0,19.2,11.1,19.2
Steven Jackson,LAR,RB,223.8,15,14.9,11.6,,2.3,16.4,,16.5,17.3,35.1,15.2,16.1,9.1,10.8,4.0,21.3,23.3,14.7,10.1
Ryan Fitzpatrick,BUF,QB,222.8,16,13.9,24.6,22.9,18.2,8.5,10.4,14.6,,14.9,10.5,5.8,6.0,26.0,13.6,5.6,15.3,10.0,15.9
Michael Bush,LV,RB,222.5,16,13.9,3.0,8.3,13.7,18.1,0.9,4.7,13.1,,20.9,33.2,18.9,19.3,7.5,18.7,20.9,11.4,9.9
Matt Forte,CHI,RB,220.7,12,18.4,26.8,26.6,15.2,32.8,19.1,18.3,26.3,,14.0,13.7,12.3,14.4,1.2,,,,
Reggie Bush,MIA,RB,219.2,15,14.6,24.4,3.1,1.5,8.5,,9.8,6.6,16.0,23.2,21.1,16.6,12.6,16.0,18.0,25.9,15.9,
Steve Johnson,BUF,WR,218.4,16,13.7,16.6,23.6,23.4,9.8,6.9,14.9,,11.7,11.4,2.8,3.6,21.5,16.2,15.6,13.2,13.2,14.0
A.J. Green,CIN,WR,218.0,15,14.5,11.1,28.4,6.9,16.4,20.0,16.1,,16.3,15.3,11.3,,14.0,22.2,10.9,17.5,7.0,4.6
Ben Roethlisberger,PIT,QB,215.9,15,14.4,6.1,16.7,14.1,7.3,27.1,12.9,26.2,20.7,16.5,11.6,,10.5,15.0,17.2,5.2,,8.8
Greg Jennings,GB,WR,215.9,13,16.6,21.9,13.5,20.9,23.3,18.2,14.2,27.7,,16.6,12.2,2.6,18.4,22.4,4.0,,,
Aaron Hernandez,NE,TE,214.5,14,15.3,23.3,19.2,,,10.6,18.8,,9.1,13.5,8.1,8.4,12.2,11.3,13.4,29.5,7.7,29.4
Alex Smith,SF,QB,211.8,16,13.2,13.2,15.3,8.0,17.5,18.8,9.4,2.3,13.3,12.9,16.4,18.4,4.8,20.0,6.7,12.7,9.4,18.9
Tony Gonzalez,ATL,TE,209.5,16,13.1,12.2,27.3,9.8,18.6,12.0,5.9,11.2,,13.6,19.1,18.4,15.9,17.0,15.2,2.4,9.1,1.8
Fred Jackson,BUF,RB,208.6,10,20.9,12.7,28.0,27.1,20.8,31.6,27.8,,22.4,13.0,13.5,11.7,,,,,,
Dez Bryant,DAL,WR,208.3,15,13.9,16.1,,10.3,19.2,,11.8,20.0,5.8,9.6,19.4,15.8,6.5,22.6,12.0,14.0,12.2,13.0
Andy Dalton,CIN,QB,207.3,16,13.0,7.2,21.6,2.8,19.1,13.2,14.5,,11.0,21.1,10.8,16.1,15.1,10.0,9.8,5.0,19.0,11.0
Adrian Peterson,MIN,RB,206.9,12,17.2,12.4,28.1,19.7,9.3,30.2,10.9,24.5,32.9,,11.1,8.6,,,,6.0,13.2,
Laurent Robinson,DAL,WR,205.8,14,14.7,,,7.9,18.6,,6.3,4.5,21.3,14.2,22.3,13.4,26.9,11.2,23.7,11.9,1.5,22.1
