Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Peyton Manning,DEN,QB,410.1,16,25.6,46.3,20.0,24.8,29.1,35.8,13.1,25.3,21.9,,27.1,14.9,12.0,31.8,31.8,17.6,32.0,26.6
Jamaal Charles,KC,RB,378.0,15,25.2,19.0,24.3,30.2,23.7,23.5,29.8,19.3,17.0,15.6,,9.2,31.7,20.0,29.8,59.5,25.4,
Drew Brees,NO,QB,357.6,16,22.4,20.5,12.9,31.8,32.7,19.3,16.5,,33.2,19.2,31.7,14.1,18.5,7.8,28.8,20.5,12.1,38.0
Matt Forte,CHI,RB,337.3,16,21.1,19.1,24.1,21.1,22.7,15.5,17.1,30.9,,28.9,8.9,23.5,16.7,17.1,30.5,14.1,9.4,37.7
LeSean McCoy,PHI,RB,330.6,16,20.7,25.9,21.7,21.8,10.4,21.2,17.1,14.1,10.5,18.0,17.1,31.0,,16.5,35.1,15.6,34.2,20.4
Demaryius Thomas,DEN,WR,319.0,16,19.9,33.1,10.2,19.4,29.6,10.7,10.8,18.2,20.5,,35.8,17.1,14.1,13.6,21.8,8.5,26.3,29.3
Josh Gordon,CLE,WR,314.4,14,22.5,,,32.8,11.1,18.6,19.6,4.1,24.2,8.4,,23.5,43.7,48.1,31.5,15.7,17.9,15.2
Antonio Brown,PIT,WR,308.9,16,19.3,12.5,11.7,40.6,21.8,,18.2,11.3,17.4,18.1,16.4,32.9,20.4,10.9,24.8,17.7,16.5,17.7
A.J. Green,CIN,WR,306.6,16,19.2,37.2,10.1,14.6,12.1,11.1,22.3,27.5,14.5,23.8,29.1,2.7,,19.3,19.2,18.3,28.7,16.1
Brandon Marshall,CHI,WR,305.5,16,19.1,24.4,24.3,10.2,16.9,13.0,29.7,13.5,,23.7,32.9,8.2,27.7,8.5,18.0,21.5,13.6,19.4
Jimmy Graham,NO,TE,303.5,16,19.0,14.5,33.9,34.4,26.0,23.5,0.0,,18.7,32.6,10.9,10.1,21.0,13.2,23.8,4.5,18.3,18.1
Calvin Johnson,DET,WR,303.2,14,21.7,7.7,29.6,24.5,14.4,,5.5,36.5,50.9,,26.3,35.9,18.5,22.1,8.2,15.8,7.3,
Cam Newton,CAR,QB,297.8,16,18.6,12.8,16.7,29.4,,6.8,30.7,14.8,27.8,18.2,6.3,26.6,20.1,27.3,15.2,16.1,9.8,19.2
Knowshon Moreno,DEN,RB,296.6,16,18.5,9.5,25.7,5.5,16.1,26.0,35.4,13.9,25.2,,19.4,7.9,30.0,19.0,22.9,10.5,12.2,17.4
Andrew Luck,IND,QB,292.5,16,18.3,24.9,18.6,14.8,18.9,18.1,8.0,30.0,,24.8,13.8,18.4,13.6,10.2,32.2,16.1,14.1,16.0
Dez Bryant,DAL,WR,292.4,16,18.3,6.2,29.1,13.8,26.1,30.1,8.6,19.0,22.3,12.4,5.4,,17.6,19.1,9.2,32.3,17.3,23.9
Andy Dalton,CIN,QB,288.0,16,18.0,15.5,16.2,13.7,5.5,9.0,25.2,27.5,31.0,6.7,15.2,11.7,,10.5,30.1,19.2,31.5,19.5
Philip Rivers,LAC,QB,287.4,16,18.0,23.6,29.9,10.5,26.0,18.4,13.4,15.8,,19.0,13.4,14.5,27.8,12.5,20.0,15.5,7.7,19.4
Alshon Jeffery,CHI,WR,283.6,16,17.7,9.2,5.1,12.1,26.4,37.8,5.2,16.1,,17.1,20.9,17.0,8.6,48.9,18.7,17.9,13.6,9.0
Eric Decker,DEN,WR,279.8,16,17.5,5.2,17.7,27.3,13.8,17.7,10.0,29.0,8.2,,8.2,12.1,1.5,49.4,25.7,6.2,35.1,12.7
Andre Johnson,HOU,WR,279.7,16,17.5,26.6,15.6,8.6,20.0,6.9,15.8,12.9,,49.9,20.7,21.6,5.6,20.1,28.4,5.8,10.3,10.9
Matthew Stafford,DET,QB,279.0,16,17.4,20.0,17.2,21.6,16.5,14.4,24.5,26.3,26.7,,18.7,22.9,16.5,20.0,5.9,8.3,6.8,12.7
Pierre Garcon,WAS,WR,277.5,16,17.3,13.4,28.3,16.3,17.9,,12.9,10.8,11.6,24.2,24.9,13.7,12.8,13.1,8.7,25.9,31.4,11.6
Marshawn Lynch,SEA,RB,275.3,16,17.2,7.2,34.5,6.9,21.3,11.7,31.5,16.4,3.7,18.1,25.1,26.3,,8.7,13.2,24.0,9.6,17.1
Russell Wilson,SEA,QB,270.3,16,16.9,15.5,11.0,21.5,10.6,22.6,16.4,20.3,15.2,22.3,21.5,18.6,,29.1,10.2,15.2,9.5,10.8
DeSean Jackson,PHI,WR,269.4,16,16.8,23.4,34.3,9.2,5.4,26.2,24.4,5.1,14.3,26.0,18.0,12.2,,6.6,14.9,35.5,8.1,5.8
Jordy Nelson,GB,WR,264.4,16,16.5,26.0,21.6,17.3,,13.2,21.3,15.2,31.3,10.7,11.6,19.7,9.8,3.4,12.5,17.1,7.6,26.1
Colin Kaepernick,SF,QB,264.4,16,16.5,30.7,5.8,4.0,13.8,9.9,15.9,20.8,28.0,,3.2,13.6,23.4,17.1,12.1,20.3,23.0,22.8
Tony Romo,DAL,QB,260.8,15,17.4,16.4,14.2,20.4,19.3,40.9,8.8,12.9,20.8,20.3,9.1,,15.5,12.9,16.1,18.3,14.9,
Nick Foles,PHI,QB,259.7,13,20.0,,0.0,,6.0,16.0,30.0,5.7,,45.2,22.9,22.6,,23.7,19.5,33.2,18.9,16.0
Ben Roethlisberger,PIT,QB,258.9,16,16.2,7.6,12.6,16.9,15.3,,15.7,12.9,11.1,25.9,10.2,31.9,16.4,19.4,25.3,9.6,20.0,8.1
DeMarco Murray,DAL,RB,258.1,14,18.4,20.5,12.4,29.3,14.2,11.8,13.0,,,11.0,16.5,,15.6,33.2,17.5,25.3,26.1,11.7
Alex Smith,KC,QB,254.2,15,17.0,17.4,22.6,14.1,23.2,8.8,8.0,17.0,21.0,5.7,1.3,22.4,21.5,22.3,14.2,31.2,4.8,1.7
Julian Edelman,NE,WR,251.7,16,15.7,26.9,21.2,11.4,18.8,6.2,10.7,9.4,2.7,2.1,,5.7,32.0,19.1,20.4,32.9,14.7,17.5
Tom Brady,NE,QB,251.5,16,15.7,15.1,11.2,15.5,20.4,5.9,14.4,7.1,7.1,33.2,,14.1,23.8,20.8,22.8,20.6,10.9,8.6
