Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
LaDainian Tomlinson,LAC,RB,483.1,16,30.2,23.9,31.2,,11.5,15.0,44.5,29.8,45.0,40.2,45.8,44.9,29.2,34.2,30.2,33.4,14.3,10.0
Steven Jackson,LAR,RB,419.4,16,26.2,18.0,14.4,15.1,26.6,14.8,22.6,,22.9,40.9,25.3,12.7,34.2,25.5,35.9,24.7,43.2,42.6
Larry Johnson,KC,RB,374.9,16,23.4,19.8,21.7,,30.2,26.2,12.2,30.1,44.1,23.2,16.9,27.4,23.3,15.6,13.4,12.3,19.5,39.0
Brian Westbrook,PHI,RB,334.6,15,22.3,23.2,25.4,38.4,,19.6,10.5,34.4,18.6,,18.0,26.8,30.0,24.4,15.6,30.7,14.8,4.2
Frank Gore,SF,RB,333.0,16,20.8,35.0,21.7,13.4,9.9,20.2,14.0,,14.0,12.7,25.3,27.8,26.5,11.8,25.8,27.8,26.6,20.5
Peyton Manning,IND,QB,311.4,16,19.5,13.0,28.2,18.8,18.8,13.4,,29.6,27.7,18.7,13.2,15.0,9.1,14.5,16.6,28.3,20.1,26.4
Marvin Harrison,IND,WR,303.6,16,19.0,20.3,19.7,15.4,14.9,11.9,,26.3,8.8,34.5,4.1,15.4,1.8,30.2,16.1,34.6,31.2,18.4
Tiki Barber,NYG,RB,300.7,16,18.8,22.1,17.8,11.8,,16.9,25.7,18.6,11.8,24.5,18.7,5.0,16.2,19.3,12.8,21.4,11.3,46.8
Willie Parker,PIT,RB,298.6,16,18.7,15.8,5.6,27.6,,17.3,22.8,4.7,19.1,32.7,36.5,22.3,5.7,9.6,28.3,19.2,2.9,28.5
Los Angeles Chargers,LAC,DST,292.0,16,18.3,21.0,14.0,,18.0,19.0,19.0,14.0,21.0,25.0,15.0,11.0,19.0,21.0,16.0,20.0,20.0,19.0
Terrell Owens,DAL,WR,283.0,16,17.7,20.0,4.9,,13.8,7.5,27.5,21.8,21.7,20.6,20.6,11.0,24.7,16.4,14.6,23.9,10.3,23.7
Maurice Jones-Drew,JAC,RB,273.7,16,17.1,0.8,3.0,23.5,14.6,17.9,,19.8,12.7,10.5,16.7,14.1,23.5,10.6,31.1,23.5,35.2,16.2
Reggie Wayne,IND,WR,273.0,16,17.1,10.7,19.5,12.2,11.4,11.4,,25.2,43.8,15.0,14.2,24.1,17.7,8.7,19.0,21.4,5.7,13.0
Torry Holt,LAR,WR,271.8,16,17.0,15.0,14.0,26.0,22.2,13.0,41.4,,9.8,8.0,14.3,13.8,7.0,24.5,25.5,9.9,9.4,18.0
Donald Driver,GB,WR,271.1,16,16.9,16.6,24.9,10.9,10.0,5.4,,25.9,9.8,24.6,31.1,6.2,17.9,13.1,30.4,14.7,18.9,10.7
Michael Vick,ATL,QB,270.1,16,16.9,18.4,24.4,11.2,14.2,,17.0,26.4,29.1,14.5,15.3,14.5,20.0,18.8,4.7,29.1,3.6,8.9
Chad Johnson,CIN,WR,268.3,16,16.8,11.2,19.8,2.1,12.4,,15.9,13.3,19.8,7.1,49.0,43.3,19.9,17.1,15.1,6.8,6.2,9.3
Los Angeles Rams,LAR,DST,267.0,16,16.7,24.0,12.0,19.0,18.0,16.0,16.0,,8.0,12.0,26.0,19.0,16.0,11.0,10.0,24.0,12.0,24.0
Drew Brees,NO,QB,265.9,16,16.6,8.6,19.7,7.7,20.2,10.5,18.9,,23.9,25.5,21.3,22.4,22.0,12.8,34.8,6.6,9.2,1.8
Reggie Bush,NO,RB,264.7,16,16.5,18.9,15.3,11.2,11.0,19.6,10.1,,4.1,5.7,21.9,18.9,7.5,49.8,28.2,8.3,22.9,11.3
Steve Smith,CAR,WR,259.7,14,18.6,,,18.2,24.7,12.9,32.9,20.6,19.9,,28.4,19.0,14.8,16.9,11.7,10.6,-0.5,29.6
Lee Evans,BUF,WR,259.2,16,16.2,4.5,3.9,18.7,16.2,24.4,16.2,2.0,,13.8,12.0,49.5,10.8,9.5,17.1,15.7,17.4,27.5
Marc Bulger,LAR,QB,258.5,16,16.2,8.4,11.3,16.3,27.0,17.8,24.4,,21.1,19.3,7.4,3.7,9.4,14.6,24.2,5.5,34.2,13.9
Roy Williams,DET,WR,255.2,16,16.0,6.6,13.1,26.8,22.9,1.7,32.1,10.9,,25.8,13.1,11.9,18.6,8.0,13.3,2.1,19.9,28.4
T.J. Houshmandzadeh,CIN,WR,252.7,14,18.1,,,30.4,13.5,,26.2,19.1,13.6,15.6,15.8,3.5,20.9,26.6,25.8,8.9,24.4,8.4
Carson Palmer,CIN,QB,251.1,16,15.7,5.0,18.2,20.2,9.8,,14.5,18.2,19.3,8.3,29.9,20.9,21.0,13.1,13.9,8.1,13.0,17.7
Andre Johnson,HOU,WR,249.1,16,15.6,16.1,15.6,26.2,25.1,,16.5,24.6,22.8,17.3,8.6,15.4,25.8,1.5,13.8,7.8,8.8,3.2
Javon Walker,DEN,WR,243.7,16,15.2,7.1,15.0,28.0,,11.1,14.4,19.7,14.0,44.6,14.2,10.8,11.5,3.7,9.2,19.4,14.5,6.5
Ladell Betts,WAS,RB,242.9,16,15.2,8.3,16.7,24.1,5.1,3.7,3.6,14.3,,6.8,13.1,11.6,12.8,26.3,20.5,19.2,30.4,26.4
Baltimore Ravens,BAL,DST,239.0,16,14.9,25.0,27.0,12.0,9.0,9.0,7.0,,24.0,15.0,5.0,9.0,31.0,6.0,15.0,11.0,15.0,19.0
Rudi Johnson,CIN,RB,238.3,16,14.9,17.3,28.8,7.7,18.1,,5.2,11.5,13.4,15.0,15.9,12.8,13.4,8.4,25.2,17.6,22.0,6.0
Laveranues Coles,NYJ,WR,238.2,16,14.9,23.3,22.0,17.8,14.1,4.9,27.6,8.4,8.0,,7.9,16.0,26.1,5.8,16.7,32.3,2.9,4.4
Jon Kitna,DET,QB,236.0,16,14.8,9.2,15.3,21.5,15.2,13.8,13.4,20.5,,16.5,12.8,7.7,12.1,11.5,9.8,4.8,23.2,28.7
Anquan Boldin,ARI,WR,230.1,16,14.4,16.2,12.2,22.9,8.2,17.2,31.6,10.3,8.7,,7.3,13.7,29.0,5.2,8.7,11.5,10.4,17.0
Kevin Jones,DET,RB,229.9,12,19.2,13.0,14.2,23.5,26.7,9.0,28.3,26.3,,30.0,20.5,0.8,,19.2,18.4,,,
Joseph Addai,IND,RB,228.6,16,14.3,7.8,18.4,5.8,18.9,9.7,,11.5,18.0,10.3,25.4,6.7,46.8,7.7,4.6,9.9,14.8,12.3
Chester Taylor,MIN,RB,228.4,15,15.2,22.1,15.8,11.9,6.7,20.4,,28.8,7.9,22.1,11.5,20.0,26.1,11.1,,3.8,9.7,10.5
Tom Brady,NE,QB,227.4,16,14.2,12.8,10.7,17.5,15.6,13.3,,16.0,29.0,1.3,14.1,26.4,11.9,13.1,3.1,12.6,17.1,12.9
Ahman Green,GB,RB,225.2,14,16.1,16.2,15.0,27.1,,,,17.8,27.3,14.0,5.5,3.8,19.3,18.0,16.0,19.3,10.9,15.0
Plaxico Burress,NYG,WR,221.8,15,14.8,18.0,23.4,3.3,,19.9,8.4,17.4,21.6,,8.8,17.5,14.4,16.3,17.7,18.0,12.5,4.6
Marques Colston,NO,WR,221.8,14,15.8,14.9,15.8,16.7,24.2,6.8,14.0,,34.3,29.3,26.9,0.0,,,9.8,15.4,13.7,0.0
Darrell Jackson,SEA,WR,218.6,13,16.8,9.7,23.7,24.7,11.2,,19.4,26.6,15.4,8.6,19.5,17.7,10.0,15.1,17.0,,,
Antonio Gates,LAC,TE,217.4,16,13.6,10.6,9.5,,8.1,14.5,18.8,21.3,11.6,4.2,11.9,9.8,20.1,22.0,29.4,1.7,8.3,15.6
Jerricho Cotchery,NYJ,WR,216.6,16,13.5,18.5,24.1,6.3,15.5,8.9,1.6,15.9,10.1,,19.3,5.5,18.0,24.9,8.7,11.6,15.7,12.0
Deuce McAllister,NO,RB,215.5,15,14.4,9.0,20.1,13.4,11.7,20.1,16.0,,3.9,12.4,12.8,9.9,21.6,15.0,15.6,13.8,20.2,
Terry Glenn,DAL,WR,211.8,15,14.1,12.1,21.4,,24.6,11.1,9.7,8.1,8.9,10.8,,13.8,24.9,9.2,23.0,14.6,2.7,16.9
Edgerrin James,ARI,RB,211.6,16,13.2,17.6,16.7,16.9,12.2,17.5,7.2,4.8,19.9,,9.9,13.2,4.5,11.5,20.1,15.2,11.8,12.6
Joey Galloway,TB,WR,210.6,14,15.0,,25.1,7.8,,21.0,13.9,,7.2,25.7,13.7,16.4,10.1,7.4,11.4,19.7,5.4,25.8
Hines Ward,PIT,WR,210.5,14,15.0,16.3,4.9,3.7,,8.9,16.9,43.1,16.1,19.7,19.6,15.1,7.3,,,9.9,15.9,13.1
Philip Rivers,LAC,QB,210.3,16,13.1,8.5,14.4,,7.8,18.1,21.6,16.8,12.6,8.1,25.7,13.0,3.2,10.3,19.3,-0.3,15.8,15.4
Vince Young,TEN,QB,209.0,15,13.9,-0.9,10.6,,8.5,10.8,11.3,,17.9,5.9,16.3,12.9,30.9,18.3,21.3,3.8,27.4,14.0
Thomas Jones,CHI,RB,208.2,16,13.0,7.1,7.6,9.5,24.7,16.3,8.7,,23.4,13.3,21.3,14.2,10.7,3.2,18.2,17.4,9.2,3.4
Donovan McNabb,PHI,QB,205.1,10,20.5,23.3,25.1,19.9,36.2,28.3,15.9,25.7,10.1,,19.5,1.1,,,,,,
Marion Barber,DAL,RB,204.0,16,12.8,4.6,13.5,,14.3,13.8,11.7,5.6,18.6,9.3,14.3,15.5,22.6,19.6,-0.1,25.6,0.3,14.8
Chicago Bears,CHI,DST,204.0,16,12.8,19.0,16.0,9.0,16.0,17.0,17.0,,16.0,5.0,15.0,16.0,11.0,27.0,5.0,5.0,5.0,5.0
Isaac Bruce,LAR,WR,203.8,16,12.7,11.4,12.7,10.9,25.0,4.3,9.5,,15.5,9.1,13.6,1.6,12.3,18.5,10.2,8.8,29.8,10.6
Brett Favre,GB,QB,200.3,16,12.5,2.8,23.6,25.1,4.2,12.8,,17.6,16.7,11.5,21.7,2.9,8.5,11.9,19.4,0.9,7.3,13.4
Larry Fitzgerald,ARI,WR,199.6,13,15.4,22.3,9.2,18.5,11.1,9.5,,,,,14.0,5.0,28.2,15.6,20.9,12.7,19.3,13.3
Fred Taylor,JAC,RB,197.8,15,13.2,23.5,15.1,8.3,3.3,21.3,,11.3,17.5,7.9,18.4,18.5,10.1,7.6,19.1,3.7,,12.2
Jamal Lewis,BAL,RB,196.7,16,12.3,13.8,7.0,8.6,3.4,5.4,8.0,,10.9,17.7,6.0,31.8,14.0,10.7,14.1,18.4,17.8,9.1
Tony Gonzalez,KC,TE,195.0,15,13.0,24.1,2.7,,10.9,3.5,4.5,19.8,19.6,23.3,14.4,,7.5,31.5,6.1,11.3,11.7,4.1
Kellen Winslow,CLE,TE,194.5,16,12.2,20.3,8.2,16.2,12.1,13.5,,6.4,20.6,18.8,14.0,7.6,11.2,3.6,5.9,11.1,4.7,20.3
Eli Manning,NYG,QB,191.9,16,12.0,15.9,24.8,17.0,,14.8,11.2,13.7,10.1,8.9,0.8,9.0,6.5,19.5,19.6,7.3,5.0,7.8
Ronnie Brown,MIA,RB,191.4,13,14.7,21.2,18.2,12.0,19.1,10.6,18.7,17.2,,21.0,15.6,0.5,8.3,,,,15.5,13.5
Travis Henry,TEN,RB,190.9,14,13.6,17.4,,9.0,,15.3,26.1,,2.9,6.7,16.7,22.1,8.1,13.2,23.5,4.9,13.5,11.5
J.P. Losman,BUF,QB,190.2,16,11.9,6.6,8.3,22.5,14.7,3.4,15.9,7.0,,8.3,3.3,25.0,4.8,14.0,14.2,21.1,10.6,10.5
Corey Dillon,NE,RB,188.9,16,11.8,11.5,14.0,1.6,12.7,4.5,,16.7,4.2,18.3,11.3,9.1,5.3,22.0,9.0,13.1,9.0,26.6
Ben Roethlisberger,PIT,QB,188.2,15,12.6,,1.6,2.2,,4.8,17.5,21.3,8.5,16.2,22.7,14.9,4.5,14.1,19.4,16.2,9.5,14.8
Mark Clayton,BAL,WR,187.9,16,11.7,3.0,4.0,14.8,7.4,7.7,27.1,,2.7,15.3,24.8,13.4,5.1,6.9,22.2,5.1,23.8,4.6
Braylon Edwards,CLE,WR,186.1,16,11.6,4.3,15.0,22.6,13.5,5.7,,2.6,4.1,20.4,12.1,19.9,4.9,12.6,18.6,17.8,2.7,9.3
Todd Heap,BAL,TE,185.5,16,11.6,9.6,12.7,14.6,16.0,5.1,16.5,,13.7,12.4,8.9,12.2,18.8,6.9,7.3,10.8,9.0,11.0
Reggie Brown,PHI,WR,184.0,16,11.5,10.0,9.3,15.6,10.1,17.9,31.6,17.7,2.3,,2.8,5.1,8.9,19.0,10.3,17.7,5.7,0.0
Warrick Dunn,ATL,RB,183.0,16,11.4,15.2,13.4,6.6,7.5,,20.6,12.9,9.3,16.1,14.8,6.7,11.2,8.7,9.2,9.5,4.8,16.5
Alge Crumpler,ATL,TE,182.0,16,11.4,11.7,3.2,9.9,5.0,,11.6,35.7,17.2,14.7,7.7,3.6,5.3,14.2,6.0,10.9,6.9,18.4
Chad Pennington,NYJ,QB,181.7,16,11.4,21.5,18.4,12.1,11.5,-1.5,14.9,9.8,1.2,,9.1,2.5,15.6,14.5,9.0,16.7,16.1,10.3
Rex Grossman,CHI,QB,180.7,16,11.3,13.3,27.6,10.8,17.5,15.3,-2.9,,22.1,6.4,19.6,8.7,1.1,-5.5,18.0,21.6,11.9,-4.8
Tony Romo,DAL,QB,180.3,15,12.0,,0.0,,0.0,0.0,5.4,14.0,16.6,19.5,21.0,7.3,31.8,7.3,10.1,17.0,9.9,20.4
Santana Moss,WAS,WR,180.2,14,12.9,12.7,12.8,11.2,35.8,6.9,15.3,5.0,,,4.7,,4.2,25.3,5.4,12.7,5.9,22.3
Keyshawn Johnson,CAR,WR,179.9,16,11.2,8.0,15.6,29.1,12.3,17.7,9.6,8.1,2.9,,15.7,7.5,9.8,16.5,10.1,8.5,3.1,5.4
Steve McNair,BAL,QB,179.8,16,11.2,11.6,8.7,14.4,11.4,2.1,-1.8,,22.7,10.0,23.8,9.2,9.6,15.8,16.5,0.0,18.2,7.6
Muhsin Muhammad,CHI,WR,176.3,16,11.0,16.2,9.9,20.8,15.5,3.0,1.2,,17.5,12.2,25.3,4.9,6.7,1.5,14.0,14.5,9.4,3.7
Alex Smith,SF,QB,174.2,16,10.9,15.5,13.2,19.6,0.8,17.6,14.6,1.6,7.7,2.8,6.9,16.6,5.9,4.8,8.4,23.8,8.5,10.6
Marty Booker,MIA,WR,171.6,14,12.3,9.4,6.3,7.4,7.3,4.2,,26.0,,10.3,3.6,14.4,30.5,17.1,26.3,0.2,,8.6
Eddie Kennison,KC,WR,170.6,16,10.7,3.3,5.9,,20.6,9.0,8.7,11.0,19.2,3.9,8.8,5.8,2.6,24.7,2.3,10.3,8.1,26.4
Jeremy Shockey,NYG,TE,170.3,15,11.4,16.9,3.7,9.8,,2.3,23.5,10.3,4.5,20.6,2.5,15.2,8.9,18.5,16.9,15.0,1.7,
Willis McGahee,BUF,RB,168.6,14,12.0,11.4,10.7,17.3,15.2,10.5,10.0,14.0,,1.5,,,20.1,9.7,18.5,7.9,19.5,2.3
Chris Cooley,WAS,TE,168.4,16,10.5,1.7,3.3,5.8,11.0,8.1,10.7,16.2,,15.6,6.9,16.8,17.9,3.2,8.6,12.0,20.7,9.9
Bernard Berrian,CHI,WR,165.0,15,11.0,11.9,19.9,13.0,20.3,19.7,5.1,,9.1,2.0,,0.0,15.4,6.1,15.2,9.3,15.3,2.7
David Carr,HOU,QB,164.1,16,10.3,14.8,21.8,14.6,16.4,,2.6,18.2,3.1,15.4,11.5,10.0,17.9,1.8,6.2,-2.9,11.9,0.8
Reche Caldwell,NE,WR,163.5,16,10.2,5.3,3.4,7.6,4.0,1.5,,7.7,21.4,3.1,26.0,16.0,8.7,19.2,2.2,8.5,5.5,23.4
New England Patriots,NE,DST,162.0,16,10.1,9.0,7.0,1.0,12.0,12.0,,17.0,16.0,7.0,4.0,17.0,14.0,15.0,1.0,16.0,3.0,11.0
Chris Chambers,MIA,WR,160.2,16,10.0,10.9,15.8,11.8,13.2,9.7,17.1,4.9,,16.8,9.8,10.4,4.3,20.1,4.1,1.1,2.6,7.6
Jake Delhomme,CAR,QB,159.4,13,12.3,5.4,7.2,16.1,14.5,10.7,18.4,15.5,4.0,,15.8,9.3,6.7,19.8,,,,16.0
Laurence Maroney,NE,RB,157.9,14,11.3,8.6,12.5,12.9,27.0,3.8,,4.0,8.7,7.2,3.7,21.6,17.8,1.4,,,13.8,14.9
DeShaun Foster,CAR,RB,155.6,14,11.1,11.4,6.3,11.9,18.1,14.8,9.0,9.9,18.1,,7.7,6.3,,,4.6,7.7,11.7,18.1
Dominic Rhodes,IND,RB,155.2,16,9.7,13.3,13.9,4.8,13.5,16.0,,4.2,7.3,1.3,12.2,8.0,11.9,17.8,11.9,11.8,3.1,4.2
Minnesota Vikings,MIN,DST,155.0,16,9.7,1.0,8.0,12.0,4.0,26.0,,20.0,6.0,9.0,0.0,9.0,12.0,12.0,16.0,6.0,18.0,-4.0
Derrick Mason,BAL,WR,154.6,15,10.3,9.0,9.6,20.2,7.7,7.5,,,12.7,4.0,20.4,5.8,9.3,22.0,11.8,4.0,3.0,7.6
Miami Dolphins,MIA,DST,154.0,16,9.6,5.0,3.0,12.0,10.0,4.0,3.0,3.0,,25.0,8.0,22.0,16.0,6.0,21.0,7.0,7.0,2.0
