Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Coby Fleener,NO,TE,112.3,16,7.0,1.1,3.9,20.4,3.4,,22.6,5.4,5.6,5.7,3.6,9.2,7.9,11.1,1.1,2.0,4.0,5.3
Nick Folk,NYJ,K,112.0,16,7.0,11.0,13.0,3.0,5.0,8.0,3.0,6.0,7.0,11.0,0.0,,7.0,4.0,11.0,8.0,3.0,12.0
Hunter Henry,LAC,TE,111.8,15,7.5,2.5,0.0,7.7,14.1,14.9,17.3,2.1,2.4,,8.1,,9.0,1.9,8.3,11.2,0.0,12.3
Case Keenum,LAR,QB,111.0,10,11.1,2.2,10.1,13.7,18.0,6.8,29.5,7.9,,13.8,7.7,,,,,1.3,,
Atlanta Falcons,ATL,DST,111.0,16,6.9,1.0,0.0,11.0,11.0,9.0,2.0,13.0,2.0,5.0,4.0,,5.0,4.0,26.0,8.0,7.0,3.0
Chris Boswell,PIT,K,110.0,15,7.3,9.0,7.0,4.0,5.0,8.0,1.0,12.0,,2.0,6.0,10.0,4.0,,9.0,23.0,7.0,3.0
Chris Hogan,NE,WR,109.9,15,7.3,13.5,7.9,0.8,0.0,13.6,4.4,1.5,17.1,,0.0,,9.0,10.3,22.1,2.3,2.7,4.7
Travis Benjamin,LAC,WR,108.9,14,7.8,6.7,26.4,8.2,4.8,15.2,1.2,7.4,11.9,1.0,,,1.3,3.4,-0.2,12.6,9.0,
Charles Clay,BUF,TE,107.7,15,7.2,5.0,5.2,0.0,7.2,9.8,7.7,3.9,1.6,2.4,,4.8,2.7,,12.7,16.7,24.5,3.5
C.J. Fiedorowicz,HOU,TE,106.9,15,7.1,1.1,0.6,0.0,12.8,8.1,17.5,6.0,12.8,,4.1,11.2,6.2,7.4,4.7,,6.2,8.2
Pittsburgh Steelers,PIT,DST,106.0,16,6.6,5.0,6.0,-1.0,9.0,7.0,0.0,4.0,,6.0,0.0,22.0,11.0,9.0,8.0,4.0,4.0,12.0
Adam Humphries,TB,WR,105.5,15,7.0,5.6,9.7,14.5,0.9,3.6,,3.3,7.3,13.1,7.3,6.7,2.6,2.9,,11.9,1.7,14.4
Miami Dolphins,MIA,DST,104.0,16,6.5,12.0,3.0,7.0,1.0,0.0,7.0,4.0,,7.0,17.0,7.0,6.0,0.0,14.0,22.0,1.0,-4.0
Tyler Lockett,SEA,WR,103.6,15,6.9,3.2,11.9,0.0,1.8,,4.0,2.3,5.2,3.5,8.7,4.9,0.9,22.3,7.6,22.5,4.8,
Terrance Williams,DAL,WR,103.4,16,6.5,4.9,0.0,8.8,12.4,9.5,9.5,,3.5,2.9,1.0,1.6,7.5,2.3,16.1,4.5,8.1,10.8
Buffalo Bills,BUF,DST,103.0,16,6.4,10.0,5.0,22.0,15.0,17.0,6.0,0.0,1.0,4.0,,9.0,2.0,-4.0,6.0,9.0,1.0,0.0
